"Registration Number","Registration Date","Name","Business Name","Address 1","Address 2","City","State","Zip"
"619","03/20/1950","Netherlands Board of Tourism and Conventions (NBTC)","","215 Park Avenue South","Suite 1302","New York","NY","10003"
"616","02/28/1950","German National Tourist Office","","1350 Broadway ","Suite 440","New York","NY","10018"
"603","01/04/1950","South African Tourism","","500 Fifth Avenue","22nd Floor, Suite 2200","New York","NY","10110-0002"
"579","07/07/1949","VisitBritain","","885 Second Avenue","28th Floor","New York","NY","10017"
"568","04/21/1949","Italian Government Tourist Board, New York","","686 Park Avenue","3rd Floor","New York","NY","10065"
"526","05/13/1948","Innovation Norway","","WeWork ","575 Lexington Ave","New York","NY","10022"
"495","10/03/1947","Austrian Tourist Office, Inc.","","61 Broadway","#1701","New York","NY","10006"
"430","01/30/1947","Bermuda Tourism Authority","","675 Third Avenue","12th Floor","New York","NY","10017"
"55","03/01/1943","Switzerland Tourism","","608 Fifth Avenue","","New York","NY","10020-2303"

